Ilosc unieszkodliwiona [kg],Ilosc zinwentaryzowana [kg],Nazwa Gminy,Pozostala do unieszkodliwienia [kg],TERYT
0.00,414422.21,Bolesławiec,414422.21,020101
260850.00,1370092.75,Bolesławiec,1109242.75,020102
137176.60,409703.14,Gromadka,272526.54,020103
2178.00,473447.95,Nowogrodziec,471269.95,020104
3344.00,375537.64,Osiecznica,372193.64,020105
39889.00,484240.87,Warta Bolesławiecka,444351.87,020106
22540.00,71878.96,Bielawa,49338.96,020201
83490.00,438049.50,Dzierżoniów,354559.50,020202
42683.90,217228.70,Pieszyce,174544.80,020203
1543.00,124017.00,Piława Górna,122474.00,020204
418190.00,866866.32,Dzierżoniów,448676.32,020205
205188.00,685836.60,Łagiewniki,480648.60,020206
53540.00,524756.00,Niemcza,471216.00,020207
129097.61,943143.01,Głogów,814045.40,020301
72029.00,483760.00,Głogów,411731.00,020302
40201.75,577288.95,Kotla,537087.20,020304
0.00,470686.70,Pęcław,470686.70,020305
71470.00,782147.00,Żukowice,710677.00,020306
81358.30,1534976.41,Góra,1453618.11,020401
0.00,615901.00,Jemielno,615901.00,020402
1.00,500171.20,Niechlów,500170.20,020403
0.00,165.00,Wąsosz,165.00,020404
466.00,1180925.95,Jawor,1180459.95,020501
0.00,860422.32,Bolków,860422.32,020502
0.00,692005.00,Męcinka,692005.00,020503
75672.00,437320.43,Mściwojów,361648.43,020504
35220.00,450037.00,Paszowice,414817.00,020505
0.00,530464.00,Wądroże Wielkie,530464.00,020506
59533.10,211982.10,Karpacz,152449.00,020601
0.00,96362.00,Kowary,96362.00,020602
19162.00,239626.00,Piechowice,220464.00,020603
0.00,63645.00,Szklarska Poręba,63645.00,020604
0.00,247126.00,Janowice Wielkie,247126.00,020605
8030.00,8030.00,Jeżów Sudecki,0.00,020606
102732.00,573916.00,Podgórzyn,471184.00,020608
104861.92,265024.92,Stara Kamienica,160163.00,020609
3520.00,26647.00,Kamienna Góra,23127.00,020701
83740.00,1031506.60,Kamienna Góra,947766.60,020702
23972265.70,24652911.70,Lubawka,680646.00,020703
81526.00,395962.00,Marciszów,314436.00,020704
0.00,251873.75,Duszniki-Zdrój,251873.75,020801
0.00,314858.99,Kłodzko,314858.99,020802
0.00,247562.20,Kudowa-Zdrój,247562.20,020803
1280.00,317766.04,Nowa Ruda,316486.04,020804
52516.00,109636.80,Polanica-Zdrój,57120.80,020805
0.00,1718908.00,Bystrzyca Kłodzka,1718908.00,020806
0.00,4752.00,Kłodzko,4752.00,020807
1948.58,632518.67,Lądek-Zdrój,630570.09,020808
3160.30,108689.70,Lewin Kłodzki,105529.40,020809
0.00,2397413.00,Międzylesie,2397413.00,020810
95231.00,692201.00,Nowa Ruda,596970.00,020811
55360.00,1237868.00,Radków,1182508.00,020812
0.00,766964.00,Stronie Śląskie,766964.00,020813
0.00,300839.00,Szczytna,300839.00,020814
0.00,1568477.75,Chojnów,1568477.75,020902
65395.40,554835.40,Krotoszyce,489440.00,020903
123050.00,487382.10,Kunice,364332.10,020904
44.00,580949.60,Legnickie Pole,580905.60,020905
0.00,938955.90,Miłkowice,938955.90,020906
0.00,476942.00,Prochowice,476942.00,020907
19603.00,311255.00,Lubań,291652.00,021001
1.10,283290.59,Świeradów-Zdrój,283289.49,021002
7359.00,1273183.00,Leśna,1265824.00,021003
56933.70,873741.30,Lubań,816807.60,021004
0.00,523512.00,Olszyna,523512.00,021005
0.00,354814.01,Siekierczyn,354814.01,021007
120851.00,1422967.82,Lubin,1302116.82,021101
188851.62,1627994.82,Lubin,1439143.20,021102
811090.07,1491426.07,Rudna,680336.00,021103
0.00,607667.39,Ścinawa,607667.39,021104
60744.00,258524.00,Gryfów Śląski,197780.00,021201
12837.00,734441.95,Lwówek Śląski,721604.95,021203
0.00,606801.70,Mirsk,606801.70,021204
637.56,432547.61,Wleń,431910.05,021205
11510.00,451297.50,Cieszków,439787.50,021301
69590.73,630250.28,Krośnice,560659.55,021302
4246.00,785914.00,Milicz,781668.00,021303
30216.50,197802.08,Oleśnica,167585.58,021401
0.00,1095930.00,Bierutów,1095930.00,021402
611483.31,1095414.31,Dobroszyce,483931.00,021403
14.00,1138824.00,Dziadowa Kłoda,1138810.00,021404
53399.50,540518.00,Międzybórz,487118.50,021405
0.00,1220426.00,Oleśnica,1220426.00,021406
239059.00,400708.22,Syców,161649.22,021407
122222.65,552187.05,Twardogóra,429964.40,021408
0.00,80520.89,Oława,80520.89,021501
74063.00,484859.00,Domaniów,410796.00,021502
122915.00,644514.60,Jelcz-Laskowice,521599.60,021503
89331.00,1266427.80,Oława,1177096.80,021504
0.00,789412.80,Chocianów,789412.80,021601
1320.00,1075586.60,Grębocice,1074266.60,021603
291665.86,658782.21,Polkowice,367116.35,021604
2266.00,2266.00,Przemków,0.00,021605
8668.00,632181.00,Radwanice,623513.00,021606
173631.90,803833.90,Borów,630202.00,021701
18906.36,555454.86,Przeworno,536548.50,021703
361090.69,1214179.08,Strzelin,853088.39,021704
0.00,2409.00,Wiązów,2409.00,021705
10158.59,855925.59,Kostomłoty,845767.00,021801
0.10,290015.10,Malczyce,290015.00,021802
107600.22,860321.22,Miękinia,752721.00,021803
68360.00,665247.00,Środa Śląska,596887.00,021804
819.72,925762.20,Udanin,924942.48,021805
0.00,58199.35,Świdnica,58199.35,021901
3060.00,136227.74,Świebodzice,133167.74,021902
124362.00,478929.00,Dobromierz,354567.00,021903
186297.00,667744.67,Jaworzyna Śląska,481447.67,021904
57700.00,438826.00,Marcinowice,381126.00,021905
12895.00,978301.20,Strzegom,965406.20,021906
179706.50,1369252.44,Świdnica,1189545.94,021907
0.00,60115.00,Żarów,60115.00,021908
77067.00,1156607.00,Oborniki Śląskie,1079540.00,022001
280500.00,980441.00,Prusice,699941.00,022002
147903.00,1147495.00,Trzebnica,999592.00,022003
0.00,1643983.00,Wisznia Mała,1643983.00,022004
0.00,17292.00,Zawonia,17292.00,022005
70462.00,681987.11,Żmigród,611525.11,022006
0.00,20.00,Boguszów-Gorce,20.00,022101
1540.00,65278.40,Jedlina-Zdrój,63738.40,022102
0.00,11561.00,Szczawno-Zdrój,11561.00,022103
0.00,351216.15,Czarny Bór,351216.15,022104
0.00,326832.00,Głuszyca,326832.00,022105
0.00,511970.30,Mieroszów,511970.30,022106
770.00,288255.00,Walim,287485.00,022108
0.00,56155.00,,56155.00,022109
88715.00,1427127.73,Brzeg Dolny,1338412.73,022201
0.00,892039.50,Wińsko,892039.50,022202
0.00,9826.70,Wołów,9826.70,022203
137939.00,449204.11,Czernica,311265.11,022301
496280.00,1161417.43,Długołęka,665137.43,022302
41382.00,474221.00,Jordanów Śląski,432839.00,022303
42167.99,789830.44,Kąty Wrocławskie,747662.45,022304
168890.00,577019.00,Mietków,408129.00,022306
185145.00,1288965.85,Sobótka,1103820.85,022307
201000.00,2183176.52,Siechnice,1982176.52,022308
0.00,688870.82,Żórawina,688870.82,022309
0.00,290504.00,Bardo,290504.00,022401
156163.48,469104.48,Ciepłowody,312941.00,022402
0.00,550820.00,Kamieniec Ząbkowicki,550820.00,022403
0.00,488233.18,Stoszowice,488233.18,022404
4070.00,672251.25,Ząbkowice Śląskie,668181.25,022405
0.00,1386192.00,Ziębice,1386192.00,022406
0.00,6600.00,Złoty Stok,6600.00,022407
5508.00,38299.00,Zawidów,32791.00,022501
0.00,66000.00,Zgorzelec,66000.00,022502
4109343.00,15563058.82,Bogatynia,11453715.82,022503
0.00,322501.74,Pieńsk,322501.74,022504
0.00,137093.00,Sulików,137093.00,022505
0.00,59079.75,Węgliniec,59079.75,022506
